               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.093926,             0.16188,            0.023342,             0.44065,             0.36839,             0.34591,             0.18841,             0.09207,             0.23479,            0.029736,           0.0067555,           0.0067555,           0.0067555
                 125,            0.093663,             0.16192,            0.023226,             0.45734,             0.35949,             0.34591,             0.18847,            0.092063,              0.2348,            0.029738,           0.0067101,           0.0067101,           0.0067101
                 126,            0.093364,             0.16226,            0.023331,             0.46907,             0.35538,             0.34707,             0.18925,            0.092051,             0.23478,            0.029741,           0.0066647,           0.0066647,           0.0066647
                 127,            0.093717,              0.1617,            0.023174,             0.46113,             0.36038,             0.34732,             0.18956,            0.092044,             0.23486,            0.029734,           0.0066191,           0.0066191,           0.0066191
                 128,            0.093728,             0.16169,            0.023254,             0.45426,             0.36333,             0.34763,             0.18955,            0.092034,             0.23495,            0.029725,           0.0065734,           0.0065734,           0.0065734
                 129,            0.093757,             0.16208,            0.023421,             0.47816,             0.34834,             0.34728,             0.18938,            0.092026,             0.23498,            0.029731,           0.0065276,           0.0065276,           0.0065276
                 130,            0.093396,             0.16208,            0.023032,             0.45955,              0.3577,             0.34738,             0.18955,            0.092013,             0.23495,            0.029725,           0.0064816,           0.0064816,           0.0064816
                 131,            0.093141,             0.16223,            0.023165,             0.49197,             0.34069,             0.34756,             0.18949,             0.09201,             0.23505,            0.029718,           0.0064356,           0.0064356,           0.0064356
                 132,            0.093592,             0.16131,            0.023096,             0.47632,              0.3485,             0.34741,             0.18981,            0.092001,             0.23497,            0.029718,           0.0063895,           0.0063895,           0.0063895
                 133,            0.093612,             0.16249,            0.023085,             0.44725,               0.366,             0.34751,              0.1899,            0.091997,              0.2351,            0.029716,           0.0063432,           0.0063432,           0.0063432
                 134,            0.093288,             0.16184,            0.022995,             0.47264,             0.35192,             0.34752,             0.18968,             0.09199,              0.2351,            0.029712,           0.0062969,           0.0062969,           0.0062969
                 135,             0.09354,             0.16094,            0.023064,             0.47631,             0.34976,             0.34798,             0.19004,             0.09198,             0.23512,            0.029701,           0.0062505,           0.0062505,           0.0062505
                 136,            0.093818,             0.16287,            0.023084,              0.4584,              0.3575,             0.34774,             0.19023,            0.091966,             0.23502,            0.029702,            0.006204,            0.006204,            0.006204
                 137,            0.092997,             0.15918,            0.022984,             0.45485,             0.35967,             0.34815,             0.19061,             0.09196,             0.23504,            0.029703,           0.0061574,           0.0061574,           0.0061574
                 138,            0.093626,             0.16236,             0.02288,             0.45763,             0.35886,             0.34843,             0.19069,            0.091958,             0.23491,            0.029697,           0.0061107,           0.0061107,           0.0061107
                 139,            0.093376,             0.16251,            0.023024,             0.48394,              0.3452,             0.34871,             0.19068,            0.091955,             0.23496,            0.029697,            0.006064,            0.006064,            0.006064
                 140,            0.093172,             0.15917,            0.023047,             0.47657,              0.3493,             0.34889,             0.19062,            0.091949,             0.23489,            0.029694,           0.0060172,           0.0060172,           0.0060172
                 141,             0.09354,             0.16118,            0.022703,             0.46587,             0.35425,             0.34927,             0.19101,            0.091942,             0.23487,            0.029684,           0.0059704,           0.0059704,           0.0059704
                 142,            0.093479,             0.16189,            0.022901,             0.45719,             0.35871,             0.34847,             0.19099,            0.091938,             0.23481,            0.029681,           0.0059235,           0.0059235,           0.0059235
                 143,            0.093232,             0.16119,            0.022891,             0.46889,             0.35178,             0.34834,             0.19125,            0.091939,             0.23487,            0.029685,           0.0058766,           0.0058766,           0.0058766
                 144,            0.093067,             0.16004,            0.022906,             0.46051,             0.35632,             0.34863,             0.19118,            0.091938,             0.23487,            0.029688,           0.0058296,           0.0058296,           0.0058296
                 145,            0.093427,             0.16115,            0.022869,             0.45884,             0.35703,             0.34878,             0.19114,            0.091935,              0.2349,            0.029689,           0.0057826,           0.0057826,           0.0057826
                 146,             0.09334,             0.16031,            0.022983,             0.46362,              0.3548,             0.34864,             0.19116,            0.091933,             0.23489,             0.02969,           0.0057355,           0.0057355,           0.0057355
                 147,            0.093314,             0.16176,            0.022794,             0.44508,             0.36625,             0.34894,             0.19114,             0.09193,             0.23491,            0.029682,           0.0056884,           0.0056884,           0.0056884
                 148,            0.093165,             0.15961,            0.022725,             0.45784,             0.35884,              0.3489,             0.19126,            0.091926,             0.23493,            0.029681,           0.0056413,           0.0056413,           0.0056413
                 149,            0.093091,             0.16101,            0.022881,             0.44993,             0.36475,             0.34972,             0.19156,            0.091925,             0.23491,            0.029682,           0.0055942,           0.0055942,           0.0055942
                 150,            0.093061,             0.16021,            0.022837,             0.45457,             0.36212,             0.34952,             0.19136,             0.09192,             0.23499,            0.029682,           0.0055471,           0.0055471,           0.0055471
                 151,            0.092947,             0.15965,            0.022597,             0.45152,             0.36551,             0.34979,             0.19163,            0.091916,             0.23497,             0.02968,              0.0055,              0.0055,              0.0055
                 152,            0.093283,              0.1598,            0.022912,             0.45263,             0.36454,             0.34973,             0.19159,             0.09191,             0.23499,            0.029673,           0.0054529,           0.0054529,           0.0054529
                 153,            0.092961,              0.1586,            0.022826,             0.44069,             0.37223,             0.35015,             0.19186,            0.091904,             0.23495,            0.029664,           0.0054058,           0.0054058,           0.0054058
                 154,            0.093084,             0.15968,            0.022832,              0.4428,             0.37193,              0.3502,             0.19174,            0.091898,             0.23502,            0.029659,           0.0053587,           0.0053587,           0.0053587
